file_name,x,y,width,height,label,r_mean,g_mean,b_mean,r_std,g_std,b_std,brightness_mean,brightness_std,gradient_magnitude,aspect_ratio,area_ratio,split
wither_custom_e.png,51.0,0.0,1.0,1.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.103515625e-05,train
dragon_custom2_e.png,289.0,266.0,1.0,2.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9073486328125e-06,train
bee_angry_nectar_e.png,16.0,4.0,8.0,1.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.875,8.0,0.001953125,train
dragon_custom2_e.png,198.0,51.0,1.0,1.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5367431640625e-07,train
ocelot_e.png,11.0,16.0,1.0,2.0,e,255.0,255.0,255.0,0.0,0.0,0.0,255.0,0.0,0.0,0.5,0.0009765625,train
ocelot_e.png,42.0,3.0,1.0,1.0,e,255.0,255.0,255.0,0.0,0.0,0.0,255.0,0.0,0.0,1.0,0.00048828125,train
magmacube_e.png,0.0,0.0,64.0,32.0,e,254.57802197802198,249.72637362637363,245.47252747252747,4.072146130654827,35.42631831995187,48.36044625252905,250.692078021978,26.022038301553916,5.542586567234971,2.0,0.888671875,train
dragon_custom2_e.png,196.0,51.0,1.0,2.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.9073486328125e-06,train
ocelot_e.png,0.0,19.0,1.0,1.0,e,255.0,255.0,255.0,0.0,0.0,0.0,255.0,0.0,0.0,1.0,0.00048828125,train
dragon_custom2_e.png,102.0,153.0,7.0,3.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.52587890625e-05,train
bee_angry_e.png,4.0,10.0,1.0,7.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.001708984375,train
dragon_custom2_e.png,86.0,153.0,4.0,4.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.239776611328125e-05,train
wither_custom_e.png,38.0,55.0,7.0,2.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.00042724609375,train
wither_custom_e.png,37.0,63.0,12.0,9.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.00250244140625,train
dragon_custom2_e.png,207.0,51.0,1.0,1.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.5367431640625e-07,train
dragon_custom2_e.png,5.0,153.0,7.0,3.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.52587890625e-05,train
dragon_custom2_e.png,63.0,53.0,2.0,2.0,e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.814697265625e-06,train
